event_id,event_url,event_brand,event_year,event_country,event_date,participants,foreign_participants,new,returning,churn
1569,/events/details/1569/,A Christmas Competition,2019,Australia,2019-12-01,19,0,19,0,NA
1474,/events/details/1474/,A Midsummer Fight's Dream,2019,United Kingdom,2019-06-15,29,1,29,0,NA
1730,/events/details/1730/,A Midsummer Fight's Dream,2022,United Kingdom,2022-08-06,29,0,29,0,1
1879,/events/details/1879/,A Midsummer Fight's Dream,2023,United Kingdom,2023-07-22,40,0,35,5,0.88
2174,/events/details/2174/,A Midsummer Fight's Dream,2024,United Kingdom,2024-09-01,41,1,32,9,0.78
2166,/events/details/2166/,Ace Of Blades,2024,Romania,2024-09-14,27,6,27,0,NA
2056,/events/details/2056/,Acola,2024,United States,2024-04-27,83,1,83,0,NA
2120,/events/details/2120/,Ad Hoc Af,2024,United States,2024-06-29,24,0,24,0,NA
1839,/events/details/1839/,Aegis Spring Tournament,2023,United States,2023-04-23,7,0,7,0,NA
1776,/events/details/1776/,Afo Tournament Of Defense,2022,United States,2022-11-05,25,1,25,0,NA
1954,/events/details/1954/,Afo Tournament Of Defense,2023,United States,2023-11-04,27,2,16,11,0.59
2108,/events/details/2108/,Ag 25th Anniversary Tournament,2024,United States,2024-04-20,22,0,22,0,NA
1708,/events/details/1708/,Ag Open,2022,United States,2022-04-23,99,8,99,0,NA
1845,/events/details/1845/,Ag Open,2023,United States,2023-05-05,124,7,84,40,0.68
2161,/events/details/2161/,Ag Open,2024,United States,2024-09-13,108,10,63,45,0.58
67,/events/details/67/,Aha Glasgow Broadsword Tournament,2016,United Kingdom,2016-09-11,20,1,20,0,NA
1843,/events/details/1843/,Ahma Cub,2023,Finland,2023-05-20,36,0,36,0,NA
2092,/events/details/2092/,Ahma Cub,2024,Finland,2024-05-25,52,1,33,19,0.63
1236,/events/details/1236/,Aima,2016,Italy,2016-03-04,95,23,95,0,NA
96,/events/details/96/,Aima Roma,2017,Italy,2017-03-03,104,20,104,0,NA
1265,/events/details/1265/,Aima Roma,2018,Italy,2018-03-09,68,18,30,38,0.44
1427,/events/details/1427/,Aima Roma,2019,Italy,2019-03-02,93,6,60,33,0.65
1816,/events/details/1816/,Alberio Kalavijas,2023,Lithuania,2023-04-22,34,0,34,0,NA
1304,/events/details/1304/,Albion Cup,2018,United Kingdom,2018-07-07,60,18,60,0,NA
1492,/events/details/1492/,Albion Cup,2019,United Kingdom,2019-07-27,77,28,48,29,0.62
1827,/events/details/1827/,Albion Cup,2023,United Kingdom,2023-06-03,72,4,59,13,0.82
2075,/events/details/2075/,Albion Cup,2024,United Kingdom,2024-06-01,130,13,82,48,0.63
1426,/events/details/1426/,Alfieri Open,2019,Australia,2019-02-17,20,1,20,0,NA
1307,/events/details/1307/,All's Faire Hema Tournament,2018,United States,2018-06-23,17,2,17,0,NA
1965,/events/details/1965/,Amcf/Hemaa Collaborative Tournament,2023,United States,2023-12-02,29,1,29,0,NA
1613,/events/details/1613/,Anvil,2014,Canada,2014-11-27,18,3,18,0,NA
1612,/events/details/1612/,Anvil,2017,Canada,2017-10-28,13,0,9,4,0.69
1614,/events/details/1614/,Anvil,2018,Canada,2018-05-26,24,1,16,8,0.67
