fighter_id,fighter_name,fighter_nationality,fighter_club_id,fighter_club_name,fighter_url
9225,Aaron Babb,Canada,1012,Edmonton German Fencing Guild,/fighters/details/9225/
14693,Aaron Benningfield,United States,1616,Leviathan Historical Fencing,/fighters/details/14693/
14869,Aaron Boothe,United States,71,Maryland Kunst des Fechtens,/fighters/details/14869/
7433,Aaron Boscolo,Italy,931,HEMA Ravenna,/fighters/details/7433/
10618,Aaron Brandt,United States,69,Triangle Sword Guild,/fighters/details/10618/
1003,Aaron Caldarella,Italy,203,Sala d'Arme Achille Marozzo,/fighters/details/1003/
4683,Aaron Coode,United Kingdom,526,KdF Bournemouth,/fighters/details/4683/
273,Aaron Cuneo,United States,36,Atlanta Historical Fencing Academy,/fighters/details/273/
4834,Aaron Daniels,United Kingdom,747,Braintree Historical Fencing,/fighters/details/4834/
148,Aäron Faes,Belgium,48,Sumus Soldani,/fighters/details/148/
12623,Aaron Finos,Canada,1023,Dueling Weapons Academy of Renaissance Fencing,/fighters/details/12623/
1796,Aaron Fowler,Australia,325,Sword Fighter Gold Coast,/fighters/details/1796/
13570,Aaron Hamilton,United States,1256,Arena Weapon Arts,/fighters/details/13570/
826,Aaron Harmon,United States,177,Sacto HEMA,/fighters/details/826/
12841,Aaron Hudson,United States,654,Queen City Sword Guild,/fighters/details/12841/
7202,Aaron Hutchinson,United States,499,Denver Historical Fencing Academy,/fighters/details/7202/
8734,Aaron Johnson,United States,808,Nashville School of Historical Fencing,/fighters/details/8734/
274,Aaron Karnuta,United States,1373,Salida Historical Fencing Academy,/fighters/details/274/
15026,Aaron Kohatsu,United States,189,Warriors of Ash,/fighters/details/15026/
2313,Aaron Labertew,United States,397,House of Blades,/fighters/details/2313/
11261,Aaron Lent,United States,737,Center for Blade Arts,/fighters/details/11261/
8844,Aaron Manning,United Kingdom,521,Southampton Historical Fencing,/fighters/details/8844/
14195,Aaron McGinnis,United States,36,Atlanta Historical Fencing Academy,/fighters/details/14195/
13121,Aaron Mead,United Kingdom,949,The Exiles,/fighters/details/13121/
6141,Aaron Meehan,United Kingdom,425,Medieval Combat Group,/fighters/details/6141/
7951,Aaron Miedema,NA,NA,NA,/fighters/details/7951/
11874,Aaron Moore,United States,898,Indes Ferox Gladio,/fighters/details/11874/
144,Aaron Pynenberg,United States,46,Wisconsin Historical Fencing Association,/fighters/details/144/
13810,Aaron Schroeder,Canada,1163,The Historical Combat Collective,/fighters/details/13810/
9961,Aaron Senteney,United States,1236,Steelhead Western Martial Arts,/fighters/details/9961/
662,Aaron Shober,United States,163,Sword Carolina,/fighters/details/662/
2375,Aaron Uusitalo,United States,NA,NA,/fighters/details/2375/
12243,Aaron Washik,United States,97,Meyer Freifechter Guild,/fighters/details/12243/
11435,Aaron Wheeler,United States,258,Blackfriar's School of Fence,/fighters/details/11435/
11094,Aaron Wilson,United States,156,True Edge Academy of Swordsmanship,/fighters/details/11094/
14064,Aaron Yang,United States,1251,F3 Sword Academy,/fighters/details/14064/
6072,Aaron Ziska,United States,724,Nebraska Swordfighters Guild,/fighters/details/6072/
7736,Abbey Rich,NA,NA,NA,/fighters/details/7736/
12104,Abby Rodriguez,United States,113,Western Swordsmanship Technique and Research,/fighters/details/12104/
6521,Abbye Palmer,United States,479,Steel City Historical Fencing,/fighters/details/6521/
6324,Abeer Ahmed,United States,387,Philadelphia Common Fencers Guild,/fighters/details/6324/
925,Abelard Newell,United States,80,Forte Swordplay,/fighters/details/925/
11000,Abi Waller,United Kingdom,61,The School of the Sword,/fighters/details/11000/
14757,Abigail Boyer,United States,93,Lonin League,/fighters/details/14757/
12447,Abigail Broadley,United States,1443,University of Vermont Historical Fencing Club,/fighters/details/12447/
14957,Abigail Cook,United States,724,Nebraska Swordfighters Guild,/fighters/details/14957/
12287,Abigail Moore,United States,499,Denver Historical Fencing Academy,/fighters/details/12287/
8396,Abigail Sims,United States,1256,Arena Weapon Arts,/fighters/details/8396/
13517,Abigail Watson,United States,1226,SoCal Swords,/fighters/details/13517/
8379,Abigail Yang,United States,107,Seven Swords Academy,/fighters/details/8379/
2069,Abraham Garcia,Mexico,139,Elite Fencing Club,/fighters/details/2069/
13218,Abraham Klink,Netherlands,38,De Zwaardkring,/fighters/details/13218/
10892,Abraham Madrid,United States,151,Phoenix Society of Historical Swordsmanship,/fighters/details/10892/
13518,Ada Huang,United States,1187,Einhorn Los Angeles Historical Fencing Arts,/fighters/details/13518/
8947,Adam Almqvist,Sweden,302,Medeltida Stridsteknik Linköping IF,/fighters/details/8947/
10898,Adam Andrews,Canada,1012,Edmonton German Fencing Guild,/fighters/details/10898/
5980,Adam Boretos,United States,642,Cymbrogi School of Western Martial Arts,/fighters/details/5980/
3077,Adam Boulton,United Kingdom,466,Taunton Longswords,/fighters/details/3077/
12132,Adam Bruce,United States,762,Wichita Fencing & HEMA Academy,/fighters/details/12132/
11289,Adam Brunovský,Slovakia,380,Klub šermu Trenčín,/fighters/details/11289/
11835,Adam Buchta,Czech Republic,786,Brněnští Fechteři,/fighters/details/11835/
7770,Adam Coe,United Kingdom,521,Southampton Historical Fencing,/fighters/details/7770/
14968,Adam Collins,NA,571,Historisch Schermgilde Limburg,/fighters/details/14968/
2154,Adam Cummins,United States,383,Royal Arts Fencing Academy,/fighters/details/2154/
11670,Adam Davies,Australia,515,Victorian Historical Combat Academy,/fighters/details/11670/
14377,Adam Dencker,Sweden,64,Stockholmspolisens Idrottsförening Fäktning,/fighters/details/14377/
2704,Adam Duggan,United Kingdom,423,The Irish School of Historical Combat,/fighters/details/2704/
7929,Adam Enticknap,United Kingdom,62,The Renaissance Sword Club,/fighters/details/7929/
5357,Adam Farence,United States,1024,Harrisburg Longsword,/fighters/details/5357/
3388,Adam Fell,Australia,202,Stoccata School of Defence,/fighters/details/3388/
14035,Ádám Forgó,Hungary,56,Ars Ensis,/fighters/details/14035/
8151,Adam Fox,United Kingdom,261,The Iron Door Collective,/fighters/details/8151/
687,Adam Franti,United States,663,Lansing Longsword Guild,/fighters/details/687/
6718,Adam Funderburk,United States,36,Atlanta Historical Fencing Academy,/fighters/details/6718/
12059,Adam Gansenberg,United States,NA,NA,/fighters/details/12059/
3399,Adam Garden,Australia,202,Stoccata School of Defence,/fighters/details/3399/
10564,Adam Gibson,Poland,1232,Na ubitej ziemi,/fighters/details/10564/
9076,Adam Gilbert,United States,90,Kron Martial Arts,/fighters/details/9076/
5028,Adam Gilkes,Australia,328,Adelaide Sword Academy,/fighters/details/5028/
14177,Adam Goodier,United Kingdom,871,The Vanguard Centre,/fighters/details/14177/
9816,Adam Greathouse,United States,966,Centerline Sword School,/fighters/details/9816/
13937,Adam Gudowski,Canada,1026,Comox Valley Combat Guild,/fighters/details/13937/
5492,Adam Guillory,United States,116,Ordo Procinctus,/fighters/details/5492/
12005,Adam Hembree,Australia,326,The School of Historical Fencing,/fighters/details/12005/
7129,Adam Henke,United States,123,Accademia del Leone,/fighters/details/7129/
2936,Adam Hughes,United Kingdom,NA,NA,/fighters/details/2936/
9974,Adam Jaworski,Poland,1232,Na ubitej ziemi,/fighters/details/9974/
5927,Adam Jenkins,United Kingdom,1215,Silver Hand Fencing,/fighters/details/5927/
14567,Adam Kaňovský,Czech Republic,362,SHŠ Krkavci,/fighters/details/14567/
11875,Adam Kantz,United States,NA,NA,/fighters/details/11875/
3316,Adam Kaye,Australia,333,School of Historical Defense Arts,/fighters/details/3316/
3056,Adam Keys,Ireland,426,Dublin HEMA Club,/fighters/details/3056/
15074,Adam Kledzik,Poland,1643,Włoska Szkoła Walki Nożem,/fighters/details/15074/
11393,Adam Kostelný,Czech Republic,393,Dobrovolný Šerm,/fighters/details/11393/
886,Adam Kuchavik,United States,188,School of Fencing,/fighters/details/886/
1105,Adam Labropoulos,Greece,226,Coriolanos HEMA Team,/fighters/details/1105/
12849,Adam Lammian,United Kingdom,1394,Exmoor HEMA,/fighters/details/12849/
7842,Adam Leśniewski,Poland,502,Akademia Szermierzy,/fighters/details/7842/
12122,Adam Madmar,Czech Republic,285,Digladior,/fighters/details/12122/
275,Adam Marthens,United States,NA,NA,/fighters/details/275/
15027,Adam Mason,United States,1307,Carolina Historical Fencing Association,/fighters/details/15027/
1193,Adam McDicken,United Kingdom,31,The Institute for Historical Arts,/fighters/details/1193/
2926,Adam McMillan,United States,NA,NA,/fighters/details/2926/
13360,Adam Meyer,United States,1088,Ironwood Historic Swordsmanship,/fighters/details/13360/
6896,Adam Milovanović,Serbia,531,Terca - School of Historical European Swordplay,/fighters/details/6896/
4665,Adam Mlodozeniec,Poland,502,Akademia Szermierzy,/fighters/details/4665/
15075,Adam Moskal,Poland,1644,Klub Przyjaciół Aikido,/fighters/details/15075/
11490,Adam Nally,United States,314,Loyal Order of the Sword,/fighters/details/11490/
12653,Adam Nowacki,Poland,500,Rebel Fencing Szkoła Szermierki Klasycznej,/fighters/details/12653/
2149,Adam Ogle,United States,46,Wisconsin Historical Fencing Association,/fighters/details/2149/
14663,Adam Paradowski,Poland,458,Mordschlag,/fighters/details/14663/
10365,Adam Persson Brodèn,Sweden,915,Gripen HEMA,/fighters/details/10365/
12786,Adam Prochaska,Czech Republic,1357,Hema Praha,/fighters/details/12786/
7253,Adam Ratana,United States,90,Kron Martial Arts,/fighters/details/7253/
5895,Adam Rebika,France,366,AURA Combat Historique,/fighters/details/5895/
738,Adam Ritz,Canada,201,Okanagan Combat Guild,/fighters/details/738/
12665,Adam Robertson,United States,1437,Moose Historical Fencing,/fighters/details/12665/
14196,Adam Rowland,United States,315,University of West Florida Fencing,/fighters/details/14196/
10628,Adam Sandor,United States,36,Atlanta Historical Fencing Academy,/fighters/details/10628/
14558,Adam Sedláček,Czech Republic,NA,NA,/fighters/details/14558/
8932,Adam Šeliga,Slovakia,1124,Goliath - šermiarsky cech mesta Poprad,/fighters/details/8932/
2151,Adam Severa,United States,1130,Youngstown Historical Fencing,/fighters/details/2151/
3094,Adam Simmons,United States,151,Phoenix Society of Historical Swordsmanship,/fighters/details/3094/
4835,Adam Smith,United Kingdom,1076,Smart HEMA Clubs,/fighters/details/4835/
12797,Adam Spies,United States,654,Queen City Sword Guild,/fighters/details/12797/
1779,Adam Stait,Australia,279,Vanguard Swordsmanship Academy,/fighters/details/1779/
5875,Ádám Szegle,Hungary,291,Kard Rendje ViSE,/fighters/details/5875/
7900,Adam Tanner,Canada,1506,Bataireacht and Historical Fencing Faction,/fighters/details/7900/
6017,Adam Tate,Australia,326,The School of Historical Fencing,/fighters/details/6017/
9533,Adam Tennant,United Kingdom,281,London Historical Fencing Club,/fighters/details/9533/
4767,Adam Tokarski,Poland,501,Poznańska Grupa Fechtunku Salut,/fighters/details/4767/
3606,Adam Triplett,United States,314,Loyal Order of the Sword,/fighters/details/3606/
5867,Ádám Ujvári,Hungary,701,Ferreus Lupus,/fighters/details/5867/
14761,Adam Van Ael,Canada,1625,Wolves Den Historical Fencing,/fighters/details/14761/
12455,Adam Wolfe,Canada,1427,Ardimento,/fighters/details/12455/
13386,Adam Zagora,Slovakia,264,Bratislavský šermiarsky spolok,/fighters/details/13386/
2028,Adan Scruggs,United States,89,Krieg School,/fighters/details/2028/
8697,Adán Vásquez González,Mexico,122,Krigerskole,/fighters/details/8697/
9801,Addison Foley,United States,735,HEMA Lexington,/fighters/details/9801/
7282,Addison Goff,United States,116,Ordo Procinctus,/fighters/details/7282/
12133,Addison Hernandez,United States,256,Baerswords School of Western Martial Arts,/fighters/details/12133/
9339,Adéla Wurstová,Czech Republic,288,Pardubický spolek šermířský,/fighters/details/9339/
6540,Adelais Farnell Sharp,United Kingdom,273,Virtus Sword School,/fighters/details/6540/
3412,Adeo Di Nicola,Italy,216,Sala d'Arme Aquila Gladiatrix,/fighters/details/3412/
3469,Adina Mihăiță,Romania,1410,7 Swords Historical Fencing School,/fighters/details/3469/
12546,Admir Meta,Norway,29,Trondheim HEMA,/fighters/details/12546/
1657,Adolfo Arturo Camargo Alva,Mexico,122,Krigerskole,/fighters/details/1657/
11723,Adomas Šeidukis,Lithuania,1377,Alber Aus VU,/fighters/details/11723/
10341,Adrià Mondaray i Posada,Spain,1610,Club Esgrima Burriac,/fighters/details/10341/
2974,Adriaan Ruyssenaers,Netherlands,8,Historisch Vrijvechten Nederland,/fighters/details/2974/
43,Adriaan van Sprang,Denmark,18,HEMA Esbjerg,/fighters/details/43/
14420,Adrian Brisland,United States,1187,Einhorn Los Angeles Historical Fencing Arts,/fighters/details/14420/
1172,Adrian Faulkner,United Kingdom,61,The School of the Sword,/fighters/details/1172/
2414,Adrian Gallagher,Ireland,422,Leitrim Longswords,/fighters/details/2414/
8848,Adrian Glover,United States,283,Austin Historical Weapons Guild,/fighters/details/8848/
10206,Adrian Gmyrek,Poland,500,Rebel Fencing Szkoła Szermierki Klasycznej,/fighters/details/10206/
3531,Adrian Gunn,United States,193,Boston Armizare,/fighters/details/3531/
8154,Adrian Hrytzak,Canada,152,Blood and Iron Martial Arts,/fighters/details/8154/
2780,Adrian Ionete,Romania,447,Societas Milites Getae,/fighters/details/2780/
10248,Adrian Kim,United States,165,Ann Arbor Sword Club,/fighters/details/10248/
13383,Adrián Kvasňovský,Slovakia,377,Cech Terra de Selinan,/fighters/details/13383/
12409,Adrián Laguna,Spain,1439,Gaudiosa Esgrima Histórica,/fighters/details/12409/
8794,Adrian Lipiński,Poland,458,Mordschlag,/fighters/details/8794/
1477,Adrián Majzel,Slovakia,260,Trnavský Šermiarsky Cech,/fighters/details/1477/
5696,Adrian Mirea,Romania,1410,7 Swords Historical Fencing School,/fighters/details/5696/
7210,Adrián Montero Gesto,Spain,565,100Tolos HEMA,/fighters/details/7210/
8767,Adrian Nowak,Poland,958,Szkoła Fechtunku Gryf,/fighters/details/8767/
10964,Adrian Öchsner,Germany,1382,Historisches Fechten Würzburg,/fighters/details/10964/
11169,Adrian Patej,Poland,247,ARMA Poland,/fighters/details/11169/
15356,Adrian Patzelt,Austria,1240,Equinox,/fighters/details/15356/
14047,Adrian Statkevicus,United States,1443,University of Vermont Historical Fencing Club,/fighters/details/14047/
2390,Adrian Szlapka,Ireland,422,Leitrim Longswords,/fighters/details/2390/
6739,Adrian van Bronswijk,Germany,810,Fechtschule Asteria,/fighters/details/6739/
9437,Adrian Vuychik,Ukraine,1183,Atira Ruthenia,/fighters/details/9437/
11987,Adriana Knight,United States,140,Athena School of Arms,/fighters/details/11987/
8761,Adriana Pilch,Poland,502,Akademia Szermierzy,/fighters/details/8761/
6500,Adrianna Bereta,Poland,774,Krakowska Szkoła Fechtunku,/fighters/details/6500/
5662,Adriano Idris Pozzi,Italy,666,ASD Pro Patria et Libertate,/fighters/details/5662/
10315,Adriano Sauli,Italy,527,Scuola d'Arme Fiore dei Liberi,/fighters/details/10315/
6810,Adrien Ala,France,363,Frères d'AMHE,/fighters/details/6810/
7524,Adrien Chombart de Lauwe,France,298,La Salle d'Armes Escrime Ancienne,/fighters/details/7524/
13030,Adrien Laruelle,Belgium,1264,Meyer May Rise,/fighters/details/13030/
13031,Adrien Lecocq,Belgium,1492,Spatha Medievae,/fighters/details/13031/
6059,Adrien Michaud,France,1398,Auckland Longsword,/fighters/details/6059/
8583,Adrien Péchadre,France,1155,De Feu et d'Acier,/fighters/details/8583/
13032,Adrien Piette,Belgium,1264,Meyer May Rise,/fighters/details/13032/
2847,Adrien Pommelet,France,460,Le Chapitre des Armes,/fighters/details/2847/
11705,Adrien Valenza,France,221,École Chevaleresque,/fighters/details/11705/
13033,Adrien Vandendriessche,Belgium,1492,Spatha Medievae,/fighters/details/13033/
9357,Adrien Vives,France,298,La Salle d'Armes Escrime Ancienne,/fighters/details/9357/
1013,Adrien Zeppieri,United Kingdom,6,Waterloo Sparring Group,/fighters/details/1013/
5834,Adrienn Rambács,Hungary,291,Kard Rendje ViSE,/fighters/details/5834/
13424,Adrienne (AJ) Johnson,United States,156,True Edge Academy of Swordsmanship,/fighters/details/13424/
2645,Adrienne Chiu,United States,183,Tosetti Institute of MMA and Fitness,/fighters/details/2645/
2665,Adur Saizar,Spain,434,Sala d'Armes Monjuïc,/fighters/details/2665/
1222,Aernout Stalenburg,Netherlands,37,De Academie voor Middeleeuwse Europese Krijgskunsten,/fighters/details/1222/
12662,Agata Gandecka,Poland,500,Rebel Fencing Szkoła Szermierki Klasycznej,/fighters/details/12662/
5841,Agelos Vasilikoudis,Greece,693,Apocalyptic Knights,/fighters/details/5841/
11941,Ágnes Pongrácz,Hungary,56,Ars Ensis,/fighters/details/11941/
13989,Agnese Guardigli,Italy,816,Sala d'Arme Achille Marozzo Lombardia,/fighters/details/13989/
9278,Agnieszka Czerkawska,Poland,500,Rebel Fencing Szkoła Szermierki Klasycznej,/fighters/details/9278/
9976,Agnieszka Kastelik,Poland,958,Szkoła Fechtunku Gryf,/fighters/details/9976/
13319,Agnieszka Kwias,Poland,501,Poznańska Grupa Fechtunku Salut,/fighters/details/13319/
4666,Agnieszka Wiszniewska-Matyszkiel,Poland,502,Akademia Szermierzy,/fighters/details/4666/
6858,Agnieszka Wołcyrz,Poland,856,ARMA Poland Wroclaw,/fighters/details/6858/
1347,Agostino Punturi,Italy,130,Accademia Romana d'Armi,/fighters/details/1347/
5781,Agustin Burgos,Chile,1536,Praelium Australis,/fighters/details/5781/
11796,Agustin Diaz Salvadores,Switzerland,510,Historicae Artes Dimicationes Ustrachense,/fighters/details/11796/
4731,Ahmad Salem Ahmed,Austria,562,Wiener Fecht- und Ausdauersportrunde,/fighters/details/4731/
12913,Ahmed Syed,Peru,NA,NA,/fighters/details/12913/
5015,Ahti Voutilainen,Finland,2,EHMS,/fighters/details/5015/
2538,Aiaz Shagapov,Russia,NA,NA,/fighters/details/2538/
6709,Aidan Bowman,United States,317,Bold City Longsword,/fighters/details/6709/
11412,Aidan Conroy,United States,358,Black Tigers,/fighters/details/11412/
14040,Aidan Durkee,United States,1443,University of Vermont Historical Fencing Club,/fighters/details/14040/
12804,Aidan Hughes,Australia,327,Brisbane School of Iberian Swordsmanship,/fighters/details/12804/
6791,Aidan Kennedy,Australia,196,Fechtschule Victoria,/fighters/details/6791/
13894,Aidan McMahon-Smith,Australia,1357,Hema Praha,/fighters/details/13894/
12884,Aidan Warnakulasuriya,Australia,591,Scholar Victoria,/fighters/details/12884/
7163,Aidan Witherspoon,United States,77,Medieval European Martial Arts Guild,/fighters/details/7163/
10600,Aiden Chronopoulos,Australia,444,Ironclad Academy Of The Sword,/fighters/details/10600/
10669,Aiden Lewis,United States,1303,Athens School of Arms,/fighters/details/10669/
15348,Aiden Matlock,United States,164,Noble Science Academy,/fighters/details/15348/
10950,Aiden Sutter,United States,NA,NA,/fighters/details/10950/
7760,Aiden Yong,Singapore,975,ORB Fencing,/fighters/details/7760/
9067,Aili McGregor,United States,90,Kron Martial Arts,/fighters/details/9067/
13742,Aimee Hanson,United States,NA,NA,/fighters/details/13742/
1585,Aindreas Dounyng,United States,303,The Guild Academy,/fighters/details/1585/
12368,Aino Pöykkö,Finland,15,Oulun Miekkailuseura,/fighters/details/12368/
13922,Airon Giambò,Italy,1567,ASD Centro di Eccellenza Arti Marziali Filippine,/fighters/details/13922/
5068,Airrion Scott,United States,94,Mid-Atlantic Society for Historic Swordsmanship,/fighters/details/5068/
13486,Aisling Henry,Australia,326,The School of Historical Fencing,/fighters/details/13486/
12829,Aislinn MacCulloch,Canada,153,The Forge: Western Martial Arts,/fighters/details/12829/
3456,Aitor Bleda,United Kingdom,244,Dawn Duellists Society,/fighters/details/3456/
4754,Aitor Fernandez Dominguez,Spain,390,Esgrima Antiga Pontevedra,/fighters/details/4754/
7503,Aitor telletxea,Spain,757,Sala de Armas Fénix,/fighters/details/7503/
14421,AJ Atry,United States,1226,SoCal Swords,/fighters/details/14421/
1625,AJ Torgerson,United States,311,Great Plains Steel Historical Fencing,/fighters/details/1625/
9855,AJ Trefney,United States,NA,NA,/fighters/details/9855/
7068,Akim Boyarinov,Russia,640,Steel,/fighters/details/7068/
10069,Ákos Pongó,Hungary,291,Kard Rendje ViSE,/fighters/details/10069/
15246,Aksa Saragih,Indonesia,1030,Iron Guts HEMA Club,/fighters/details/15246/
1145,Aksinja Voronova,Russia,55,Tramazzone,/fighters/details/1145/
8359,Al Askerov,Russia,55,Tramazzone,/fighters/details/8359/
10121,Al Layman,United States,1258,Caledonian Broadsword Academy of New Orleans,/fighters/details/10121/
