club_id,club_name,club_country,club_state,club_city,club_members,club_parent_id,club_url
97,Meyer Freifechter Guild,,,,7,,/clubs/details/97/
104,Schola St. George,,,,46,,/clubs/details/104/
301,School of European Swordsmanship,,,,7,,/clubs/details/301/
851,Suomen Historiallisen Miekkailun Seura,Finland,,Helsinki,1,301,/clubs/details/851/
619,Society for Creative Anachronism,,,,13,,/clubs/details/619/
1672,College of Silva Vulcani,United States of America,"California, California",,1,619,/clubs/details/1672/
78,Company of Saint Jude,United States of America,,,1,619,/clubs/details/78/
1137,Society of American Military Swordsmanship,,,,5,,/clubs/details/1137/
1136,Society of American Military Swordsmanship Kabul,Afghanistan,,Kabul,5,1137,/clubs/details/1136/
1521,Vardan,Armenia,,Yerevan,1,,/clubs/details/1521/
1205,Circulo de Esgrima Histórica Cruz del Sur,Argentina,La Plata,Buenos Aires,2,,/clubs/details/1205/
1206,Kriegwolfe,Argentina,Santa Fe,Ciudad de Santa Fé,1,,/clubs/details/1206/
1210,Sala de Armas Tercio de Ultramar,Argentina,Buenos Aires,Mar del Plata,4,,/clubs/details/1210/
1202,Scolari Cordoba,Argentina,Cordoba,Cordoba,2,,/clubs/details/1202/
1203,Scolari Rafaela,Argentina,Rafaela,Santa Fé,1,,/clubs/details/1203/
980,Cor et Chalybs,Austria,,Bregenz,1,,/clubs/details/980/
1352,Dao Schule Tirol,Austria,,Tirol,1,,/clubs/details/1352/
552,Dreynschlag,Austria,,Vienna,2,,/clubs/details/552/
1240,Equinox,Austria,,Vienna,9,,/clubs/details/1240/
541,Fior della Spada,Austria,,Vienna,8,,/clubs/details/541/
561,Freyfechter Wien,Austria,,Vienna,1,,/clubs/details/561/
231,Historisches Fechten Baden,Austria,,"Bad Vöslau, Baden",11,,/clubs/details/231/
550,Historisches Fechten St. Pölten,Austria,,St. Pölten,10,,/clubs/details/550/
551,Historisches Fechten Waldviertel Nord,Austria,,Gastern,1,,/clubs/details/551/
852,INDES,Austria,,,81,,/clubs/details/852/
1275,INDES Feldbach,Austria,,Feldbach,5,852,/clubs/details/1275/
1456,INDES Feldkirchen - Himmelberg,Austria,,Himmelberg,4,852,/clubs/details/1456/
563,INDES Graz,Austria,,Graz,15,852,/clubs/details/563/
1346,INDES Klagenfurt,Austria,,Klagenfurt,4,852,/clubs/details/1346/
553,INDES Korneuburg,Austria,,Korneuburg,1,852,/clubs/details/553/
564,INDES Linz,Austria,,Linz,12,852,/clubs/details/564/
1089,INDES Regensburg,Austria,,Regensburg,5,852,/clubs/details/1089/
268,INDES Salzburg,Austria,,Salzburg,22,852,/clubs/details/268/
560,INDES Wien,Austria,,Vienna,9,852,/clubs/details/560/
1627,INDES Kulmbach,Germany,,Kulmbach,1,852,/clubs/details/1627/
543,Klingenspiel,Austria,,Vienna,2,,/clubs/details/543/
1199,Kunst des Historischen Fechtens Tirol,Austria,,Innsbruck,7,,/clubs/details/1199/
687,PSV-Graz,Austria,,Graz,6,,/clubs/details/687/
1348,Sprezzatura,Austria,,Vienna,4,,/clubs/details/1348/
805,Union Fechtverein Die Lange Schneyd,Austria,,Vienna,2,,/clubs/details/805/
1347,Verein für gerüsteten Vollkontaktkampf Wien,Austria,,Vienna,1,,/clubs/details/1347/
562,Wiener Fecht- und Ausdauersportrunde,Austria,,Vienna,4,,/clubs/details/562/
542,Wölfe des Pfalzgrafen,Austria,,Vienna,1,,/clubs/details/542/
328,Adelaide Sword Academy,Australia,South Australia,Adelaide,58,,/clubs/details/328/
1609,Aiginskalk,Australia,Western Australia,Wandi,1,,/clubs/details/1609/
503,Australis Scherma Scuola di Spada e Sciabola,Australia,Queensland,Camp Hill,7,,/clubs/details/503/
1349,Ballarat HEMA Academy,Australia,Victoria,Ballarat,1,,/clubs/details/1349/
1195,Ballarat Medieval Combat,Australia,Victoria,Ballarat,4,,/clubs/details/1195/
1374,Barwon Academy of Arms,Australia,Victoria,Geelong,2,,/clubs/details/1374/
595,Big Tree Combat Academy,Australia,New South Wales,Sydney,16,,/clubs/details/595/
327,Brisbane School of Iberian Swordsmanship,Australia,Queensland,Brisbane,9,,/clubs/details/327/
324,Brisbane Swords,Australia,Queensland,Brisbane,14,,/clubs/details/324/
1102,Cairns European Sword Academy,Australia,Queensland,Cairns,3,,/clubs/details/1102/
330,Collegium in Armis,Australia,Queensland,Brisbane,19,,/clubs/details/330/
196,Fechtschule Victoria,Australia,Victoria,Canterbury,37,,/clubs/details/196/
806,Fitzroy College of Arms,Australia,Victoria,Melbourne,27,,/clubs/details/806/
1301,Flinders Fencing Club,Australia,South Australia,Adelaide,3,,/clubs/details/1301/
1468,Gemeiner Savate Academy,Australia,Brisbane,Gold Coast,1,,/clubs/details/1468/
145,Glen Lachlann Estate College of Arms,Australia,Victoria,Melbourne,11,,/clubs/details/145/
573,Historical European Fighting Tasmania,Australia,Tasmania,Hobart,7,,/clubs/details/573/
596,Historical European Rapier Academy,Australia,South Australia,Adelaide,5,,/clubs/details/596/
329,Historical School of Defence Toowoomba,Australia,Queensland,Toowoomba,5,,/clubs/details/329/
332,House Darksun,Australia,Western Australia,Perth,13,,/clubs/details/332/
1174,Invicta Fencing Academy,Australia,Queensland,Mount Gravatt,5,,/clubs/details/1174/
444,Ironclad Academy Of The Sword,Australia,South Australia,Adelaide,20,,/clubs/details/444/
1175,KDF Australia,Australia,Queensland,City of Townsville,2,,/clubs/details/1175/
1401,Knights of the Free Company,Australia,Western Australia,Perth,1,,/clubs/details/1401/
331,Leongatha Medieval Society,Australia,Victoria,Leongatha,2,,/clubs/details/331/
885,Melbourne Fencing Society,Australia,Victoria,Melbourne,3,,/clubs/details/885/
496,Melbourne Messer Club,Australia,Victoria,Melbourne,6,,/clubs/details/496/
1478,Melbourne Swordplay Guild,Australia,Victoria,Melbourne,1,,/clubs/details/1478/
51,New England Medieval Arts Society,Australia,New South Wales,Armidale,1,,/clubs/details/51/
932,Northside Smallsword Group,Australia,Queensland,Brisbane,1,,/clubs/details/932/
494,Prima Spada School of Fence,Australia,Queensland,"Sunshine Coast, Brisbane, Mount Gravatt East, Ipswich, Tasmania",13,,/clubs/details/494/
591,Scholar Victoria,Australia,Victoria,Melbourne,29,,/clubs/details/591/
1690,School of Arms and Armour,Australia,,Canberra,1,,/clubs/details/1690/
333,School of Historical Defense Arts,Australia,Queensland,Brisbane,9,,/clubs/details/333/
770,Spada di Bolognese,Australia,Queensland,Rochedale,4,,/clubs/details/770/
202,Stoccata School of Defence,Australia,New South Wales,"Sydney Metro, Blue Mountains, Port Douglas, Canberra,  Tasmania",44,,/clubs/details/202/
325,Sword Fighter Gold Coast,Australia,Queensland,Gold Coast,36,,/clubs/details/325/
1400,Sword-Point College of Arms,Australia,West Australia,"Armadale, Wandi",5,,/clubs/details/1400/
1580,The Old Sword Club,Australia,New South Wales,Sydney,2,,/clubs/details/1580/
326,The School of Historical Fencing,Australia,Victoria,Melbourne,71,,/clubs/details/326/
1015,Ursa Major HEMA Academy,Australia,Western Australia,Perth,38,,/clubs/details/1015/
