event_id,event_brand,event_year,event_name,event_date,event_country,event_city,event_url
2242,Pardubicky Mec,2024,Pardubicky Mec 2024,2024-12-07,Czechia,Pardubice,/events/details/2242/
2251,Swordplay Serbia,2024,Swordplay Serbia 2024,2024-12-07,Serbia,Belgrade,/events/details/2251/
2249,Torneio Nacional De Esgrima Historica,2024,Torneio Nacional De Esgrima Historica 2024,2024-12-01,Brazil,Sao Paulo,/events/details/2249/
2246,Teddy Bear's Picnic,2024,Teddy Bear's Picnic 2024,2024-11-30,Australia,Western Australia,/events/details/2246/
2245,Ehms Open,2024,Ehms Open 2024,2024-11-30,Finland,Helsinki,/events/details/2245/
2247,I Torneo Fabris,2024,Vi Torneo Fabris 2024,2024-11-23,Spain,Sodupe,/events/details/2247/
2238,Rare Ii,2024,Rare Ii 2024,2024-11-23,Hungary,Budapest,/events/details/2238/
2241,Wessex League: Exeter Chapter,2024,Wessex League: Exeter Chapter 2024,2024-11-23,United Kingdom,Exeter,/events/details/2241/
2234,Happy Shanksgiving,2024,Happy Shanksgiving 2024,2024-11-23,United States of America,New Jersey,/events/details/2234/
2228,Turnier,2024,Turnier 2024,2024-11-17,Germany,Leipzig,/events/details/2228/
2236,Ircle City Steel Clash,2024,Circle City Steel Clash 2024,2024-11-17,United States of America,Indiana,/events/details/2236/
2229,Boston Hema League November,2024,Boston Hema League November 2024,2024-11-17,United States of America,Massachusetts,/events/details/2229/
2243,Oornhert Sidesword Gathering,2024,Coornhert Sidesword Gathering 2024,2024-11-17,Netherlands,Gouda,/events/details/2243/
2240,Torneo Di Spada A Rostock,2024,Torneo Di Spada A Rostock 2024,2024-11-16,Germany,Rostock,/events/details/2240/
2227,Frost On The Blade,2024,Frost On The Blade 2024,2024-11-16,Canada,Ontario,/events/details/2227/
2237,Scioto Open,2024,Scioto Open 2024,2024-11-15,United States of America,Ohio,/events/details/2237/
2230,Belluno,2024,Belluno 2024,2024-11-10,Italy,Belluno,/events/details/2230/
2221,Wasatch Hema Fall Tournament,2024,Wasatch Hema Fall Tournament 2024,2024-11-09,United States of America,Utah,/events/details/2221/
2223,Arfl Longsword Open,2024,Arfl Longsword Open 2024,2024-11-09,United States of America,Maryland,/events/details/2223/
2214,Tyrnhaw,2024,Tyrnhaw 2024,2024-11-09,Slovakia,Trnava,/events/details/2214/
2225,Oslo Penguin Cup,2024,Oslo Penguin Cup 2024,2024-11-09,Norway,Oslo,/events/details/2225/
2224,Return Of The Goose,2024,Return Of The Goose 2024,2024-11-09,Canada,Edmonton,/events/details/2224/
2231,Oktoberfechten,2024,Oktoberfechten 2024,2024-11-03,Brazil,Juiz De Fora,/events/details/2231/
2209,Berlin Duelling Days,2024,Berlin Duelling Days 2024,2024-11-02,Germany,Berlin,/events/details/2209/
2212,Battle On The Bay,2024,Battle On The Bay 2024,2024-11-02,United States of America,Texas,/events/details/2212/
2205,Sofia Crossswords,2024,Sofia Crossswords 2024,2024-11-02,Bulgaria,Sofia,/events/details/2205/
2226,Utch Lions Cup,2024,Dutch Lions Cup 2024,2024-11-02,Netherlands,Oegstgeest,/events/details/2226/
2239,Zizkovske Kolo,2024,Zizkovske Kolo 2024,2024-11-02,Czechia,Prague,/events/details/2239/
2213,Afo Tournament Of Defense,2024,Afo Tournament Of Defense 2024,2024-11-01,United States of America,Texas,/events/details/2213/
2235,Pumpkin Slice,2024,Pumpkin Slice 2024,2024-10-27,Canada,British Columbia,/events/details/2235/
2207,Ong Tail,2024,Long Tail 2024,2024-10-27,United States of America,Rhode Island,/events/details/2207/
2204,Uel For The Jewel,2024,Duel For The Jewel 2024,2024-10-26,United States of America,Ohio,/events/details/2204/
2220,Wessex League: Bristol Chapter,2024,Wessex League: Bristol Chapter 2024,2024-10-26,United Kingdom,Bristol,/events/details/2220/
2203,Spookyfecht,2024,Spookyfecht 2024,2024-10-26,United States of America,Texas,/events/details/2203/
2211,Fright Fight,2024,Fright Fight 2024,2024-10-25,United States of America,Arizona,/events/details/2211/
2206,Sterzhaw,2024,Sterzhaw 2024,2024-10-19,Austria,Feldbach,/events/details/2206/
2216,Katzenschlag,2024,Katzenschlag 2024,2024-10-19,Poland,Zmigrod,/events/details/2216/
2199,Thms Open,2024,Thms Open 2024,2024-10-19,Finland,Turku,/events/details/2199/
2201,Four Openings Rapier Tournament,2024,Four Openings Rapier Tournament 2024,2024-10-19,United States of America,Michigan,/events/details/2201/
2219,Oktoberfecht,2024,Oktoberfecht 2024,2024-10-18,Australia,Victoria,/events/details/2219/
2217,Torneo Di Spada A Colonia,2024,Torneo Di Spada A Colonia 2024,2024-10-13,Germany,Cologne,/events/details/2217/
2194,Ongsword Korea Championship,2024,Longsword Korea Championship 2024,2024-10-13,South Korea,Seosan-Si,/events/details/2194/
2196,Entral Asia Hema Cup,2024,Central Asia Hema Cup 2024,2024-10-12,Kazakhstan,Almaty,/events/details/2196/
2198,Einherjar Cup,2024,Einherjar Cup 2024,2024-10-12,Hong Kong,Hong Kong,/events/details/2198/
2190,Lash Of The Towers,2024,Clash Of The Towers 2024,2024-10-12,Ireland,Dublin,/events/details/2190/
2192,South Historical Fencing Open,2024,South Historical Fencing Open 2024,2024-10-12,United States of America,Kentucky,/events/details/2192/
2193,One For All,2024,One For All 2024,2024-10-12,Czechia,Prague,/events/details/2193/
2195,Oktoberhau,2024,Oktoberhau 2024,2024-10-12,United States of America,California,/events/details/2195/
2191,Brick City Brawl,2024,Brick City Brawl 2024,2024-10-11,United States of America,New York,/events/details/2191/
2184,Boston Hema League October,2024,Boston Hema League October 2024,2024-10-06,United States of America,Massachusetts,/events/details/2184/
2188,Lakehema,2024,2lakehema 2024,2024-10-05,Italy,Como,/events/details/2188/
2183,Steve Hodgson Memorial Tournament,2024,Steve Hodgson Memorial Tournament 2024,2024-10-05,New Zealand,Auckland,/events/details/2183/
2185,Taos Fight Camp,2024,Taos Fight Camp 2024,2024-10-05,United States of America,Indiana,/events/details/2185/
2202,Nordschlag,2024,Nordschlag 2024,2024-10-05,Canada,Alberta,/events/details/2202/
2187,Warriors Shelter Meetup 0/Iv,2024,Warriors Shelter Meetup 0/Iv,2024-09-29,Czechia,Brno,/events/details/2187/
2222,Hanseschlag Hamburg,2024,Hanseschlag Hamburg 2024,2024-09-28,Germany,Hamburg,/events/details/2222/
2178,Swordplay Australia,2024,Swordplay Australia 2024,2024-09-28,Australia,Queensland,/events/details/2178/
2186,Fall Fury,2024,Fall Fury 2024,2024-09-28,United States of America,Texas,/events/details/2186/
2168,Wessex League: Oxford Chapter,2024,Wessex League: Oxford Chapter 2024,2024-09-21,United Kingdom,Oxford,/events/details/2168/
2175,Gold Coast Classic: Rapier,2024,Gold Coast Classic: Rapier 2024,2024-09-21,Australia,Queensland,/events/details/2175/
2167,Ragoon Sabre,2024,Dragoon Sabre 2024,2024-09-21,Czechia,Pardubice,/events/details/2167/
2171,Indobona Bosch,2024,Vindobona Bosch 2024,2024-09-21,Austria,Vienna,/events/details/2171/
2197,Battle Of The Bridge,2024,Battle Of The Bridge 2024,2024-09-20,Sweden,Kristinehamn,/events/details/2197/
2160,Atlantic Renaissance Fencing League Saber Open,2024,Atlantic Renaissance Fencing League Saber Open 2024,2024-09-15,United States of America,Virginia,/events/details/2160/
2159,Edgebana,2024,Edgebana 2024,2024-09-14,United Kingdom,Scotland,/events/details/2159/
2166,Ace Of Blades,2024,Ace Of Blades 2024,2024-09-14,Romania,Bucharest,/events/details/2166/
2177,Steel Jam,2024,Steel Jam 3 2024,2024-09-14,United States of America,Florida,/events/details/2177/
2176,Istrovstvi Cr V Duelovem Sermu Nozem,2024,Mistrovstvi Cr V Duelovem Sermu Nozem 2024,2024-09-14,Czechia,Praha,/events/details/2176/
2161,Ag Open,2024,Ag Open 2024,2024-09-13,United States of America,Michigan,/events/details/2161/
2154,Queen Of The Hill,2024,Queen Of The Hill 2024,2024-09-07,Bulgaria,Sofia,/events/details/2154/
2153,Torneo Di Spada A Hamburg,2024,Torneo Di Spada A Hamburg 2024,2024-09-07,Germany,Hamburg,/events/details/2153/
2155,Ortslag,2024,Mortslag 2024,2024-09-07,Belgium,Sint-Niklaas,/events/details/2155/
2218,Flugelschlag Ossweil,2024,Flugelschlag Ossweil 2024,2024-09-07,Germany,Ludwigsburg,/events/details/2218/
2156,Bohema: First Harvest,2024,Bohema: First Harvest 2024,2024-09-07,Czechia,Prague,/events/details/2156/
2151,Swordsquatch,2024,Swordsquatch 2024,2024-09-06,United States of America,Washington,/events/details/2151/
2147,Blademasters Cup,2024,Blademasters Cup 2024,2024-09-01,Ireland,Cork,/events/details/2147/
2174,A Midsummer Fight's Dream,2024,A Midsummer Fight's Dream 2024,2024-09-01,United Kingdom,Oxford,/events/details/2174/
2148,Fraufecht,2024,Fraufecht 2024,2024-08-31,United States of America,Nevada,/events/details/2148/
2144,Proletariat Poke,2024,Proletariat Poke 2024,2024-08-31,United States of America,New Jersey,/events/details/2144/
2150,Sharp Plum,2024,Sharp Plum 2024,2024-08-31,Serbia,Belgrade,/events/details/2150/
2179,Blood On The River,2024,Blood On The River 2024,2024-08-30,United States of America,Pennsylvania,/events/details/2179/
2149,Summer Stab,2024,Summer Stab 2024,2024-08-25,Canada,British Columbia,/events/details/2149/
2173,Bellum Vitudurum,2024,Bellum Vitudurum 2024,2024-08-24,Switzerland,Zurich,/events/details/2173/
2143,Torneio Zornhau,2024,Torneio Zornhau 2024,2024-08-18,Brazil,Rio De Janeiro,/events/details/2143/
2250,Edward Messerhands,2024,Edward Messerhands 2024,2024-08-18,United States of America,California,/events/details/2250/
2152,Pedang Merdeka,2024,Pedang Merdeka 2024,2024-08-17,Indonesia,Jakarta,/events/details/2152/
2140,Onnybrook,2024,Donnybrook 2024,2024-08-16,United States of America,Missouri,/events/details/2140/
2157,Torneo Di Narvalo,2024,Torneo Di Narvalo 2024,2024-08-10,Germany,Potsdam,/events/details/2157/
2133,Bothnia Open,2024,Bothnia Open 2024,2024-08-10,Finland,Pohjanmaa,/events/details/2133/
2132,Auf Der Hut,2024,Auf Der Hut 2024,2024-08-10,United States of America,Nebraska,/events/details/2132/
