fighter_id,fighter_name,fighter_nationality,fighter_club_id,fighter_club_name,fighter_url
9225,Aaron Babb,Canada,1012,Edmonton German Fencing Guild,/fighters/details/9225/
14693,Aaron Benningfield,United States of America,1616,Leviathan Historical Fencing,/fighters/details/14693/
14869,Aaron Boothe,United States of America,71,Maryland Kunst Des Fechtens,/fighters/details/14869/
7433,Aaron Boscolo,Italy,931,Hema Ravenna,/fighters/details/7433/
10618,Aaron Brandt,United States of America,69,Triangle Sword Guild,/fighters/details/10618/
1003,Aaron Caldarella,Italy,203,Sala D'arme Achille Marozzo,/fighters/details/1003/
4683,Aaron Coode,United Kingdom,526,Kdf Bournemouth,/fighters/details/4683/
273,Aaron Cuneo,United States of America,36,Atlanta Historical Fencing Academy,/fighters/details/273/
4834,Aaron Daniels,United Kingdom,747,Braintree Historical Fencing,/fighters/details/4834/
148,Aaron Faes,Belgium,48,Sumus Soldani,/fighters/details/148/
12623,Aaron Finos,Canada,1023,Dueling Weapons Academy Of Renaissance Fencing,/fighters/details/12623/
1796,Aaron Fowler,Australia,325,Sword Fighter Gold Coast,/fighters/details/1796/
13570,Aaron Hamilton,United States of America,1256,Arena Weapon Arts,/fighters/details/13570/
826,Aaron Harmon,United States of America,177,Sacto Hema,/fighters/details/826/
12841,Aaron Hudson,United States of America,654,Queen City Sword Guild,/fighters/details/12841/
7202,Aaron Hutchinson,United States of America,499,Denver Historical Fencing Academy,/fighters/details/7202/
8734,Aaron Johnson,United States of America,808,Nashville School Of Historical Fencing,/fighters/details/8734/
274,Aaron Karnuta,United States of America,1373,Salida Historical Fencing Academy,/fighters/details/274/
15026,Aaron Kohatsu,United States of America,189,Warriors Of Ash,/fighters/details/15026/
2313,Aaron Labertew,United States of America,397,House Of Blades,/fighters/details/2313/
11261,Aaron Lent,United States of America,737,Center For Blade Arts,/fighters/details/11261/
8844,Aaron Manning,United Kingdom,521,Southampton Historical Fencing,/fighters/details/8844/
14195,Aaron Mcginnis,United States of America,36,Atlanta Historical Fencing Academy,/fighters/details/14195/
13121,Aaron Mead,United Kingdom,949,The Exiles,/fighters/details/13121/
6141,Aaron Meehan,United Kingdom,425,Medieval Combat Group,/fighters/details/6141/
7951,Aaron Miedema,,,,/fighters/details/7951/
11874,Aaron Moore,United States of America,898,Indes Ferox Gladio,/fighters/details/11874/
144,Aaron Pynenberg,United States of America,46,Wisconsin Historical Fencing Association,/fighters/details/144/
13810,Aaron Schroeder,Canada,1163,The Historical Combat Collective,/fighters/details/13810/
9961,Aaron Senteney,United States of America,1236,Steelhead Western Martial Arts,/fighters/details/9961/
662,Aaron Shober,United States of America,163,Sword Carolina,/fighters/details/662/
2375,Aaron Uusitalo,United States of America,,,/fighters/details/2375/
12243,Aaron Washik,United States of America,97,Meyer Freifechter Guild,/fighters/details/12243/
11435,Aaron Wheeler,United States of America,258,Blackfriar's School Of Fence,/fighters/details/11435/
11094,Aaron Wilson,United States of America,156,True Edge Academy Of Swordsmanship,/fighters/details/11094/
14064,Aaron Yang,United States of America,1251,F3 Sword Academy,/fighters/details/14064/
6072,Aaron Ziska,United States of America,724,Nebraska Swordfighters Guild,/fighters/details/6072/
7736,Abbey Rich,,,,/fighters/details/7736/
12104,Abby Rodriguez,United States of America,113,Western Swordsmanship Technique And Research,/fighters/details/12104/
6521,Abbye Palmer,United States of America,479,Steel City Historical Fencing,/fighters/details/6521/
6324,Abeer Ahmed,United States of America,387,Philadelphia Common Fencers Guild,/fighters/details/6324/
